tool,version_or_commit,input_sha256,input_kind,os_cpu_gpu_ram,backend_model_version,settings_or_command,network_and_api_use,elapsed_seconds,output_path,criterion,result,notes
,,,,,,,,,,T01,not-tested,
,,,,,,,,,,T02,not-tested,
,,,,,,,,,,T03,not-tested,
,,,,,,,,,,T04,not-tested,
,,,,,,,,,,T05,not-tested,
,,,,,,,,,,T06,not-tested,
,,,,,,,,,,T07,not-tested,
,,,,,,,,,,T08,not-tested,
,,,,,,,,,,T09,not-tested,
,,,,,,,,,,T10,not-tested,
,,,,,,,,,,T11,not-tested,
,,,,,,,,,,T12,not-tested,
,,,,,,,,,,T13,not-tested,
,,,,,,,,,,T14,not-tested,
